List;Discription;Title screen;Hex file;Data file;Save file
0;Bootloader;arduboy_loader.png;;;
1;Action;Categories/Action.png;;;
1;Bangi;Action/Bangi.png;Action/Bangi.hex;;
1;Bomberman;Action/Bomberman.png;Action/Bomberman.hex;;
1;ChiriBocchiCat;Action/ChiriBocchiCat.png;Action/ChiriBocchiCat.hex;;
1;EpicCratesMassDestruction;Action/EpicCratesMassDestruction.png;Action/EpicCratesMassDestruction.hex;;
1;Helii;Action/Helii.png;Action/Helii.hex;;
1;Karateka;Action/Karateka.png;Action/Karateka.hex;;
1;Lasers;Action/Lasers.png;Action/Lasers.hex;;
1;Loderunner;Action/Loderunner.png;Action/Loderunner.hex;;
1;Pactastic;Action/Pactastic.png;Action/Pactastic.hex;;
1;Quadrastic;Action/Quadrastic.png;Action/Quadrastic.hex;;
1;Siege;Action/Siege.png;Action/Siege.hex;;
1;Trenchrun;Action/Trenchrun.png;Action/Trenchrun.hex;;
1;ZooEscape;Action/ZooEscape.png;Action/ZooEscape.hex;;
2;Adventure;Categories/Adventure.png;;;
2;ArduIndy;Adventure/ArduIndy.png;Adventure/ArduIndy.hex;;
2;CatacombsOfTheDamned;Adventure/CatacombsOfTheDamned.png;Adventure/CatacombsOfTheDamned.hex;;
2;Glove;Adventure/Glove.png;Adventure/Glove.hex;;
2;RickArdurous;Adventure/RickArdurous.png;Adventure/RickArdurous.hex;;
2;VirusLEP-79;Adventure/VirusLEP-79.png;Adventure/VirusLEP-79.hex;;
3;Arcade;Categories/Arcade.png;;;
3;ArduBreakout;Arcade/ArduBreakout.png;Arcade/ArduBreakout.hex;;
3;Arduman;Arcade/Arduman.png;Arcade/Arduman.hex;;
3;BurgardTime;Arcade/BurgardTime.png;Arcade/BurgardTime.hex;;
3;FirePanic;Arcade/FirePanic.png;Arcade/FirePanic.hex;;
3;Kong;Arcade/Kong.png;Arcade/Kong.hex;;
3;Kong2;Arcade/Kong2.png;Arcade/Kong2.hex;;
3;NightRaid;Arcade/NightRaid.png;Arcade/NightRaid.hex;;
3;OilPanic;Arcade/OilPanic.png;Arcade/OilPanic.hex;;
3;RoboDodge;Arcade/RoboDodge.png;Arcade/RoboDodge.hex;;
3;RooftopRescue;Arcade/RooftopRescue.png;Arcade/RooftopRescue.hex;;
3;Snelk;Arcade/Snelk.png;Arcade/Snelk.hex;;
3;SpaceCab;Arcade/SpaceCab.png;Arcade/SpaceCab.hex;;
3;TINY-PLAQUE;Arcade/TINY-PLAQUE.png;Arcade/TINY-PLAQUE.hex;;
3;TINY_PIPE;Arcade/TINY_PIPE.png;Arcade/TINY_PIPE.hex;;
3;Tinybert;Arcade/Tinybert.png;Arcade/Tinybert.hex;;
3;Tinyddug;Arcade/Tinyddug.png;Arcade/Tinyddug.hex;;
3;Tinymissile;Arcade/Tinymissile.png;Arcade/Tinymissile.hex;;
3;TurtleBridge;Arcade/TurtleBridge.png;Arcade/TurtleBridge.hex;;
3;joustish;Arcade/joustish.png;Arcade/joustish.hex;;
3;picovaders;Arcade/picovaders.png;Arcade/picovaders.hex;;
4;Platform;Categories/Platform.png;;;
4;CastleBoy;Platform/CastleBoy.png;Platform/CastleBoy.hex;;
4;GarboylesQuest;Platform/GarboylesQuest.png;Platform/GarboylesQuest.hex;;
4;MidnightWild;Platform/MidnightWild.png;Platform/MidnightWild.hex;;
4;MysticBalloon;Platform/MysticBalloon.png;Platform/MysticBalloon.hex;;
4;OmegaHorizon;Platform/OmegaHorizon.png;Platform/OmegaHorizon.hex;;
4;SanSan;Platform/SanSan.png;Platform/SanSan.hex;;
4;bounce;Platform/bounce.png;Platform/bounce.hex;;
4;hopper;Platform/hopper.png;Platform/hopper.hex;;
5;Puzzle;Categories/Puzzle.png;;;
5;Atomicpuzzlepack;Puzzle/Atomicpuzzlepack.png;Puzzle/Atomicpuzzlepack.hex;;
5;Begemmed;Puzzle/Begemmed.png;Puzzle/Begemmed.hex;;
5;Blobattack;Puzzle/Blobattack.png;Puzzle/Blobattack.hex;;
5;CircuitDude;Puzzle/CircuitDude.png;Puzzle/CircuitDude.hex;;
5;DarkStar;Puzzle/DarkStar.png;Puzzle/DarkStar.hex;;
5;Hangman;Puzzle/Hangman.png;Puzzle/Hangman.hex;;
5;LeWord;Puzzle/LeWord.png;Puzzle/LeWord.hex;;
5;Logix;Puzzle/Logix.png;Puzzle/Logix.hex;;
5;LongCat;Puzzle/LongCat.png;Puzzle/LongCat.hex;;
5;Minesweeper;Puzzle/Minesweeper.png;Puzzle/Minesweeper.hex;;
5;PiCross;Puzzle/PiCross.png;Puzzle/PiCross.hex;;
5;Pipes;Puzzle/Pipes.png;Puzzle/Pipes.hex;;
5;Sensitive;Puzzle/Sensitive.png;Puzzle/Sensitive.hex;;
5;Whist;Puzzle/Whist.png;Puzzle/Whist.hex;;
5;sudoku;Puzzle/sudoku.png;Puzzle/sudoku.hex;;
6;RPG;Categories/RPG.png;;;
6;Arduminer;RPG/Arduminer.png;RPG/Arduminer.hex;;
6;Arduventure;RPG/Arduventure.png;RPG/Arduventure.hex;;
6;Ardynia;RPG/Ardynia.png;RPG/Ardynia.hex;;
6;DarkAndUnder;RPG/DarkAndUnder.png;RPG/DarkAndUnder.hex;;
6;MiniRogue;RPG/MiniRogue.png;RPG/MiniRogue.hex;;
6;Tacklebox;RPG/Tacklebox.png;RPG/Tacklebox.hex;;
